,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-170687954910264210,As compras e os hábitos dos brasileiros no shopping | EXAME.com,SpotHero is ready for the future of autonomous parking,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Three Lessons for Design-Driven Success,Portal Abrasce - Conhecendo o frequentador de shopping center,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
-158184760257182670,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Making open source data more available,The barbell effect of machine learning.,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free"
-133139342397538859,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Java Garbage Collection Essencial,Mastering Bash and Terminal,Aposta na inovação,Road to Polymer 2.0,As expectativas das mulheres da Geração Y são muitas
-96719740408441346,"In war for talent, 'brogrammers' will be losers",O dia em que tive mais medo de estar errada.,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,A minha viagem à Maternidade #tetodomundo,As expectativas das mulheres da Geração Y são muitas,9 Non-Threatening Leadership Strategies for Women
-92787874211637246,Analyst: Google's cloud business could cause the stock to soar to over $900,9 Non-Threatening Leadership Strategies for Women,This year's Founders' Letter,"An independent organization just ranked Google as the best cloud, beating Amazon","Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",These gloves can convert sign language into spoken English
-91139000311163410,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Here's how Evernote moved 3 petabytes of data to Google's cloud,Build Quality In: The Key to Continuous Delivery in Kanban,Google's fair use victory is good for open source,Mastering Bash and Terminal
-88303961787201909,Refactoring to Patterns em Java 8,Criando ícones animados no Android,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,What the JIT!? Anatomy of the OpenJDK HotSpot VM,System Code Geeks are giving away a FREE Sublime Text Editor License,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery"
-78667914647336721,Build Quality In: The Key to Continuous Delivery in Kanban,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Here's how Evernote moved 3 petabytes of data to Google's cloud,Hedron: Or my dissatisfaction with local development #Drupal,Google's fair use victory is good for open source,Mastering Bash and Terminal
-78066964941874046,Microservices testing,Reactive log stream processing with RxJava - Part I,Building Spring Cloud Microservices That Strangle Legacy Systems,Migrating to the New Java 8 Date Time API | Baeldung,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Microservices Architecture on Google App Engine
-57452526663870593,U.S. Track Cycling Team Training for Rio Olympics with Smart Sunglasses,Características de Arquiteturas Evolutivas,"Docker - Build, Ship, and Run Any App, Anywhere",Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Aplicação de visão computacional com OpenCV,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
-42126282997118624,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Tetra Pak Cheese and Powder Systems acquires Laude,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,The future of agriculture - Jim Womack visits a lean farm
-36844712915106340,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Exploring Java's Hidden Costs,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
-33740349536513960,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Características de Arquiteturas Evolutivas,React Native v0.32.0-rc.0 released
-21036008762564671,The sales secrets of high-growth companies,Is FinTech Forcing Banking to a Tipping Point?,Meet the new Brazilian consumer,Two Different Sales Motions . . . .,Why the customer experience matters,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!
-14569272361926584,Java 8 Streams - A Deeper Approach About Performance Improvement,LPIC-OT DevOps Engineer | Linux Professional Institute,Discutindo Devops na Prática,Salesforce adds some artificial intelligence to customer service products,What's the Best Programming Language to Learn in 2017?,Plano de Evolução - nível de qualidade equipe Java -
-7527881206365368,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Mulheres são mais criativas que homens?,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,O que é liderança? Liderança é fazer a diversidade funcionar.,Google HR chief Laszlo Bock leaving to launch startup,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
-6457517220721978,Agronegócio mantém crescimento com tecnologia - inova.jor,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,The future of agriculture - Jim Womack visits a lean farm,Tetra Pak Cheese and Powder Systems acquires Laude
-5924996404988010,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","5 awesome Google Keep features you aren't using, but should be","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English,The AI business landscape,DeepMind moves to TensorFlow
-2871288807409592,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Don't Waste Your Time on Networking Events,Globant acquires WAE to continue advancing in the creation of digital journeys,You won't recognize the new world of digital payments without this report,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,GE Digital snags ServiceMax for $915 million
-1523691178084871,Measuring email effectiveness in retail banking,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Conversational Banking; from branches to bots. - Chatbots Magazine,Confused by blockchains? Revolution vs Evolution,Ozlo The AI Chatbot Wants To Help You Find Coffee And Food
-1038011342017850,Para entender o Dia Internacional contra a Homofobia,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Brasileira do rúgbi é pedida em casamento durante premiação,"No dia das mães, Avon lança campanha com mãe de jovem gay",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
18738895644634365,"Bot do Facebook Messenger simula entrevista para o processo de ""3%""",Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,O RH chega ao board,2016 will be the year of conversational commerce - Chris Messina,This Super Accurate Portrait Selection Tech Uses Neural Networks
18930987176089166,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,"Big data, big differentiators: this week on Google Cloud Platform",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Cross-channel user experiences with Drupal (awesome video demo!),Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Introducing Google Container Engine (GKE) node pools
39554158227241538,Campus São Paulo: conheça a primeira turma do Programa de Residentes,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog,35 Innovative and Inspirational Website Designs in Banking,How Mature is Your Organization when it Comes to UX?
54211792749134075,Self-Learning AI: This New Neuro-Inspired Computer Trains Itself,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,O RH chega ao board,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Bot do Facebook Messenger simula entrevista para o processo de ""3%"""
80435662809978246,"Heroína, nazistas e agente laranja: por dentro da fusão do ano","Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",Will blockchain drive the fourth Industrial Revolution?,Bayer anuncia compra da Monsanto por US$ 66 bilhões,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,71 erros de vocabulário e pronúncia em inglês que você faz
90383487344892230,Building Spring Cloud Microservices That Strangle Legacy Systems,Migrating to the New Java 8 Date Time API | Baeldung,Taking Microservices Home - NGINX,Learn Microservices in Java - DZone - Refcardz,Reactive log stream processing with RxJava - Part I,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
119886322445874454,Tutorial: How to build a GraphQL server - Building Apollo,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,O RH chega ao board,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,2016 will be the year of conversational commerce - Chris Messina
123378787151399958,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Write Like You Talk,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Falling for Web Components,The Language of Beauty Ads
127799031949294618,Apple Releases First Preview of Swift 3.0 for Developers,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Alecrim/AlecrimCoreData,What to Expect at WWDC 2016,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
139485217095648183,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,"SINAIS do FUTURO imediato: #1, internet das coisas",Building an Angular 2 Application for Production,Top Programming Languages Trends: The Rise of Big Data,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Gartner Reprint
